content_id,planned_date,published_date,channel,segment,service_line,funnel_arc,funnel_stage,offer_id,offer_readiness,monetization_role,cta_intensity,main_cta,next_bridge,post_format,status,source_file,published_url,views,reactions,comments_or_questions,plan_sent_count,lead_count,qualified_count,deal_count,revenue_rub,cost_rub,romi_decision,next_action,notes
lead-post-001,,,"MAX","B2C","перепланировка","replan-safe-start-001","diagnosis","primary-plan-check","ready_manual","lead_capture",3,"пришлите план и идею изменений","lead-post-002","checklist","approved","content/pipeline/drafts/lead-post-001-plan-check-before-repair.md","",,,,,,,,,0,"data_missing","опубликовать вручную или через будущий approved-only publisher; после публикации заполнить дату и ссылку","утверждено Яникой; новый контекст: красивая идея ремонта против реального проектного решения"
lead-post-002,,,"MAX","B2C","перепланировка","replan-safe-start-001","diagnosis","ask-question","ready_manual","engagement",2,"напишите, какой пункт похож на ваш случай","lead-post-003","mistake_list","planned","","",,,,,,,,,0,"data_missing","готовить после lead-post-001","не ставить сразу после темы второго санузла"
lead-post-003,,,"MAX","B2C","перепланировка","project-before-repair-001","education","primary-plan-check","ready_manual","lead_capture",3,"пришлите план до демонтажа","lead-post-004","education","planned","","",,,,,,,,,0,"data_missing","готовить после lead-post-002","усилить порядок действий до ремонта"
lead-post-004,,,"MAX","B2C","проектирование","studio-trust-process-001","trust","consultation-request","partial_manual","trust_building",2,"напишите вопрос по объекту","lead-post-005","process","planned","","",,,,,,,,,0,"data_missing","готовить после lead-post-003","показывает, что студия шире перепланировок"
lead-post-005,,,"MAX","B2C","перепланировка","case-proof-client-path-001","proof","primary-plan-check","ready_manual","social_proof",3,"если ситуация похожа, пришлите план","lead-post-006","case","planned","","",,,,,,,,,0,"data_missing","готовить после lead-post-004","кейс должен быть обезличен"
lead-post-006,,,"MAX","B2C","вся студия","studio-trust-process-001","trust","ask-question","ready_manual","path_clarity",2,"напишите, на каком вы этапе","lead-post-007","path","planned","","",,,,,,,,,0,"data_missing","готовить после lead-post-005","путь клиента без агрессивной продажи"
lead-post-007,,,"Telegram","B2B","ПД/РД/КР","project-before-repair-001","education","project-scope-check","ready_manual","b2b_lead_capture",3,"пришлите ТЗ или описание объекта","lead-post-008","expert","planned","","",,,,,,,,,0,"data_missing","адаптировать под Telegram","для ГИПов, партнеров, коммерческих объектов"
lead-post-008,,,"VK","B2C","доверие","case-proof-client-path-001","proof","primary-plan-check","ready_manual","social_proof",3,"задайте вопрос или пришлите план","lead-post-009","proof","planned","","",,,,,,,,,0,"data_missing","адаптировать под VK","можно использовать живой тон и процесс"
lead-post-009,,,"Дзен","B2C+B2B","SEO","norms-news-to-use-001","awareness","primary-plan-check","ready_manual","seo_long_tail",2,"перейти к первичной оценке","lead-post-010","seo_article","planned","","",,,,,,,,,0,"data_missing","готовить как длинный SEO-материал","не публиковать краткий MAX-текст без адаптации"
lead-post-010,,,"MAX","B2C","перепланировка","replan-safe-start-001","conversion","primary-plan-check","ready_manual","lead_capture",4,"напишите ПРОВЕРКА и пришлите план","intake_card","conversion","planned","","",,,,,,,,,0,"data_missing","готовить после первых касаний","закрывающий пост цепочки"
