source_id,source_name,source_url,platform,segment,source_type,owner_agent,status,why_watch,risk_level,allowed_contact_method,utm_source,next_action,notes
lgm_001,MAX-канал СИЛА Проекта,https://max.ru/id100005517_biz,MAX,all_segments,own_channel,agent4_publisher,approved,Главная площадка доверия и прогрева после входа из внешних источников,low,own_post,max,prepare_b2b_posts,"Без автозвука и без обещаний результата."
lgm_002,Telegram-каналы коммерческой недвижимости,,Telegram,commercial_real_estate,public_channel_research,agent1_scout,candidate,Искать собственников арендаторов УК девелоперов ТЦ БЦ складов,medium,approved_ad_or_public_comment,telegram,research_candidates,"Не писать в личные сообщения автоматически."
lgm_003,VK-сообщества предпринимателей и коммерческой недвижимости,,VK,b2b,public_group_research,agent1_scout,candidate,Проверять темы аренды ремонта fit-out реконструкции и перепланировок,medium,approved_post_or_comment,vk,research_candidates,"Только публичные обсуждения и ручное approval."
lgm_004,Форумы и обсуждения предпринимателей,,Forums,b2b,public_forum_research,agent1_scout,candidate,Ловить реальные вопросы про открытие магазина офиса склада и согласования,medium,approved_helpful_reply,forum,research_candidates,"Ответ должен быть полезным а не рекламным."
lgm_005,2GIS карточки и категории,,2GIS,local_search,listing,agent5_crm,candidate,Понять спрос по городам и привести карточку к единой аналитике,low,own_listing_update,2gis,check_profile,"Не менять карточки без отдельного подтверждения."
lgm_006,Яндекс Карты и Яндекс Бизнес,,Yandex,local_search,listing,agent5_crm,candidate,Проверить видимость по проектированию и перепланировке,low,own_listing_update,yandex_maps,check_profile,"Не запускать рекламу без бюджета и approval."
lgm_007,Avito Услуги проектирование,,Avito,private_and_small_business,marketplace,agent2_collector,candidate,Вторичный поток вопросов по проектированию и перепланировке,medium,manual_response,avito,read_only_check,"Сбор и ответы только после отдельного разрешения."
lgm_008,Коммерческие тендерные площадки,,Tender,b2b,tender_monitoring,agent1_scout,candidate,Искать ПД РД реконструкцию перепланировку обследования для юрлиц,low,manual_tender_review,tender,prepare_filters,"Сначала read-only фильтры и чеклист участия."
lgm_009,Сайты девелоперов и УК,,Web,b2b,abm_research,agent6_outreach,candidate,Собрать список компаний где могут быть объекты и запросы на проектирование,medium,approved_email_only,abm,build_shortlist,"Без массовой рассылки. Только approved-only письмо."
lgm_010,Складские операторы и индустриальные парки,,Web,warehouses,abm_research,agent6_outreach,candidate,Приоритет для складов ангаров реконструкций и ПД РД,medium,approved_email_only,abm,build_shortlist,"Нужен шорт-лист и проверка релевантности."
lgm_011,Ритейл и франчайзи,,Web,retail_fitout,abm_research,agent6_outreach,candidate,Магазины ТЦ fit-out перепланировки под арендодателя и УК,medium,approved_email_only,abm,build_shortlist,"Писать только после подбора конкретной пользы."
lgm_012,Старые контакты и сделки Bitrix24,,Bitrix24,crm_base,crm_hygiene,agent5_crm,approved_readonly,Найти дубли старые лиды и сегменты для аккуратной реактивации,low,manual_crm_task,bitrix24,analyze_duplicates,"Только read-only анализ до отдельного разрешения на действия."
