source_id,source_name,source_url,platform,segment,source_type,why_watch,what_to_extract,owner_agent,status,notes
tg_prozru,Проектирование зданий,https://t.me/prozru,telegram,B,channel,B2B-аудитория проектировщиков ГИПов и руководителей проектных компаний,"темы постов, форматы, офферы обучения/консультаций, вовлеченность, язык экспертизы",agent1_scout,active_manual,"Публичные статистические страницы: Telemetr/Nicegram/TGraphyx/Telega"
tg_rupor_gip,Рупор ГИП,https://t.me/rupor_project,telegram,B,channel,Новости нормы и проектная документация для ГИПов,"новости, нормативные поводы, темы для экспертных Telegram-постов",agent1_scout,active_manual,"Не копировать новости, делать вывод для заказчика или ГИПа"
tg_gipkurs_chat,ПРОЕКТИРОВАНИЕ ЗДАНИЙ ЧАТ,https://t.me/GIPkurs,telegram,B,chat,Чат проектировщиков и вакансий как источник боли и спроса,"вопросы участников, вакансии, запросы на субподряд, повторяющиеся проблемы",agent1_scout,planned_manual,"Мониторить только после безопасной настройки Telegram-сессии и правил приватности"
tg_pereplan_one,PEREPLAN. Перепланировка и согласование,https://t.me/pereplan_one,telegram,A,channel,Крупный B2C/B2B канал по перепланировкам Москвы и Петербурга,"темы, CTA, форматы карточек, лид-магниты конкурента, частые боли собственников и дизайнеров",agent1_scout,active_manual,"Использовать только как анализ паттернов, не копировать"
tg_pereplan_mos_mo,Согласование перепланировки в Москве и МО,https://t.me/pereplan_mos_mo,telegram,A,channel,Узкая аудитория дизайнеров ремонтников риелторов,"темы вопросов, региональная специфика, форматы консультаций",agent1_scout,active_manual,"Полезно для B2B-партнерского угла"
site_mostpr,МОСтройпроект,https://mostpr.ru/,website,A,competitor_site,Сильная упаковка с кейсами сроками стоимостью и документами,"структура услуги, документы на старте, кейсы, обещания, доверительные цифры",agent1_scout,active_manual,"Для контента: чек-листы и сравнения, без копирования формулировок"
site_resog,Ресог,https://resog.ru/,website,A,competitor_site,Перепланировки с фокусом на требования 2026 и бывших сотрудников Жилинспекции,"офферы, доверительные блоки, вопросы, карта объектов, CTA",agent1_scout,active_manual,"Проверять актуальность требований отдельно"
site_replanestate,Replan Estate,https://replanestate.ru/,website,A+B,competitor_site,Нежилые помещения проектная документация согласования ремонт под ключ,"услуги, боли коммерческой недвижимости, результаты, блоки доверия",agent1_scout,active_manual,"Полезно для потока Б и коммерческих объектов"
site_archistrutt,Архитектоника,https://archistrutt.ru/,website,A,competitor_site,Перепланировки под ключ Москва,"структура услуг, коммуникация, точки доверия",agent1_scout,active_manual,"Смотреть как конкурентную упаковку"
site_soglasuem,Согласуем,https://soglasuem.com/,website,A,competitor_site,Перепланировки под ключ Москва,"сроки, форматы консультации, оффер, возражения",agent1_scout,active_manual,"Проверять, не обещает ли конкурент спорные гарантии"
vk_documentall,DOCUMENTALL,https://vk.com/documentall,vk,A+B,community,СПб и ЛО перепланировка реконструкция полный цикл,"посты, кейсы, аудитория, форматы вопросов",agent1_scout,planned_manual,"Источник найден через справочник услуг, проверять вручную"
vk_replan54,REPLAN Новосибирск,https://vk.com/replan54,vk,A,community,Региональный конкурент по перепланировкам,"региональные офферы, кейсы, акции, частые вопросы",agent1_scout,planned_manual,"Полезно для сравнения Москва/регионы"
vk_mstpr,МОСтройпроект VK,https://vk.com/mstpr,vk,A,community,VK-упаковка крупного конкурента,"форматы постов, визуалы, CTA, социальные доказательства",agent1_scout,planned_manual,"Проверять вручную перед использованием"
vk_pkstroi,ПКСтрой,https://vk.com/pkstroi,vk,A,community,Перепланировки Москва опыт с 2008,"форматы доверия, договор, сроки, бюджетные возражения",agent1_scout,planned_manual,"Проверять вручную перед использованием"
industry_yandex_realty,Яндекс Недвижимость: перепланировка,https://realty.yandex.ru/journal/post/kak-soglasovat-pereplanirovku-v-kvartire/,website,A,industry_media,Поисковая статья с понятной структурой для B2C,"структура вопросов, SEO-формулировки, FAQ, язык объяснения",agent1_scout,active_manual,"Использовать как источник структуры вопросов, не копировать текст"
