source_id,platform,source_type,name,url,theme,why_watch,status,owner,last_checked,notes
SRC-001,Telegram,competitor,Светлана Гоненко,@pereplanirovkagonenko,Перепланировка,Сильные кейсы и личная экспертность,watch,,,Изучать подачу кейсов и CTA
SRC-002,Telegram,competitor,PEREPLAN,@pereplan_one,Перепланировка,Инфографика и разборы,watch,,,Смотреть карточки и визуальную подачу
SRC-003,Telegram,competitor,Реальная перепланировка,@real_pereplanirovka,Перепланировка,Короткие видео и интерактив,watch,,,Смотреть короткие форматы и опросы
SRC-004,MAX,own,СИЛА Проекта. Узаконено!,https://max.ru/id100005517_biz,Собственный канал,Основной продуктовый канал,active,,,Следить за ростом и качеством контента
SRC-005,Avito,customer_questions,Диалоги Avito,,Перепланировка,Живой язык клиента,watch,,,Брать боли и вопросы для постов
SRC-006,News,industry,Новости по перепланировкам,,Нормы и практика,Отдельный поток актуального контента,watch,,,Каждую новость проверять через нормы
SRC-007,Telemetr,competitor_archive,PEREPLAN archive,https://telemetr.io/ru/channels/1654233712-pereplan_one/posts,Перепланировка,Реальные публичные темы и CTA конкурента,watch,2026-04-24,2026-04-24,Использовать как источник реальных типовых ситуаций без копирования текста
SRC-008,Vimeo,competitor_video,ТОП популярных вопросов про перепланировку квартиры,https://vimeo.com/1166298563,Перепланировка,Список реальных частых случаев и вопросов рынка,watch,2026-04-24,2026-04-24,Полезно для типовых кейсов и болей
SRC-009,Rutube,competitor_case_video,Реальная перепланировка: коммуналка,https://rutube.ru/video/11e53778c02792957ee0ea102461a7cc/,Перепланировка,Публичный кейс старого фонда и сложной планировки,watch,2026-04-24,2026-04-24,Использовать как референс структуры кейса и болей старого фонда
SRC-010,Pravo.gov.ru,official_law,608-ФЗ,https://publication.pravo.gov.ru/Document/View/0001202312190009,Перепланировка и ЕГРН,Официальная база по действующим поправкам,active,2026-04-24,2026-04-24,Опора для новостных и нормативных постов
SRC-011,Consultant PDF,current_code,ЖК РФ редакция 31.07.2025,https://xn--39-6kcipahoufiqvap9bb1c.xn--p1ai/csr/downloads/2025docum/20251002_084013_file_68de1e4d9c5ae.pdf,Текущие правила перепланировки,Проверка формулировок и текущей редакции статей 25-29 ЖК РФ,active,2026-04-24,2026-04-24,Использовать для формулировок без пересказа устаревших правил
SRC-012,Российская газета,official_law,125-ФЗ,https://rg.ru/documents/2025/06/11/zhilizhniy-kpdeks-doc.html,Передача выписки и оформление результата,Официально опубликованный закон по процедуре,active,2026-04-24,2026-04-24,Использовать для новостей о порядке завершения и информирования собственника
SRC-013,Росреестр разъяснение,official_explanation,Перепланировка ипотечной квартиры,https://gainy.ru/news/rosreestr-razyasnyaet-kak-soglasovat-pereplanirovku-kvartiry-kuplennoj-po-ipotechnomu-dogovoru.html,Ипотека и согласие банка,Полезно для реального вопроса рынка и поста под горячую боль,active,2026-04-24,2026-04-24,Это разъяснение Росреестра а не отдельный закон; так и обозначать
SRC-014,Pravo.gov.ru,official_feed,Ежедневная лента официальных актов,https://publication.pravo.gov.ru/documents?periodType=day,Федеральные и региональные акты,Главный ежедневный мониторинг опубликованных документов,active,2026-04-24,2026-04-24,База для ежедневного отслеживания новых законов и приказов
SRC-015,Pravo.gov.ru,official_feed,Минстрой блок документов,https://publication.pravo.gov.ru/documents/block/foiv274,Приказы Минстроя,Следить за приказами и формами которые влияют на перепланировку и оформление,active,2026-04-24,2026-04-24,Особенно важно для форм, процедур и новых требований
SRC-016,Sozd,official_drafts,Законопроекты Госдумы,https://sozd.duma.gov.ru/,Будущие изменения,Раннее предупреждение о будущих поправках по ЖК РФ и недвижимости,active,2026-04-24,2026-04-24,Использовать для ранних сигналов а не как действующее право
SRC-017,Rosreestr regional explanations,official_explanation,Разъяснения Росреестра по регионам,https://kiportal.ru/novosti/novshestva-v-zakonodatelstve-o-pereplanirovke-pomeshchenij-s-1-aprelya-2024-goda.html,Практика применения и разъяснения,Полезно для понятных постов про применение закона и типовые ошибки,active,2026-04-24,2026-04-24,Искать по ключам перепланировка ЕГРН ипотека красные линии
SRC-018,Consultant,convenience_monitor,КонсультантПлюс письма и обзоры,https://www.consultant.ru/,Быстрый обзор изменений,Удобен для быстрого чтения редакций и писем если есть доступ,watch,2026-04-24,2026-04-24,Не источник истины; все важное перепроверять по официальному опубликованию
SRC-019,Garant,convenience_monitor,ГАРАНТ обзоры и аналитика,https://www.garant.ru/,Быстрый обзор изменений,Удобен как вспомогательный монитор если есть доступ,watch,2026-04-24,2026-04-24,Не источник истины; годится как быстрый сигнал и обзор
SRC-024,Internal training,practical_base,Обучение перепланировоки,/Users/yanika/Documents/ООО Вектор Плюс-Про/Обучение перепланировоки,Практика согласования и менеджмента,Сильная практическая база по алгоритмам, документам, типовым кейсам и клиентскому пути,active,2026-04-24,2026-04-24,Использовать как практическую базу; все нормативное сверять с актуальными официальными источниками
SRC-025,Internal training,client_process,Взаимодействие с клиентом и все шаги согласования,/Users/yanika/Documents/ООО Вектор Плюс-Про/Обучение перепланировоки/мои выдержки/взаимодействие с клиентом и все шаги согласования.docx,Клиентский путь и квалификация,Главный источник для сценария заявки и опроса клиента,active,2026-04-24,2026-04-24,Особенно полезно для блока входа в заявку и бота
